# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/05	15:25:36
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Double Slab Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |         Name         |
#      |    krad (Si) |                      |
 00170 |  6.058e+000  | (85.125, 0, 0)       |
 00171 |  4.721e+000  | (169.25, 0, 0)       |
 00172 |  5.914e+000  | (0, 56.575, 0)       |
 00173 |  6.065e+000  | (85.125, 56.575, 0)  |
 00174 |  4.747e+000  | (169.25, 56.575, 0)  |
 00175 |  4.698e+000  | (0, 112.15, 0)       |
 00176 |  4.742e+000  | (85.125, 112.15, 0)  |
 00177 |  4.680e+000  | (169.25, 112.15,0)   |
 00178 |  5.775e+000  | (0, 0, 25)           |
 00179 |  5.816e+000  | (85.125, 0, 25)      |
 00180 |  4.652e+000  | (169.25, 0, 25)      |
 00181 |  5.727e+000  | (0, 56.575, 25)      |
 00182 |  5.809e+000  | (85.125, 56.575, 25) |
 00183 |  4.666e+000  | (169.25, 56.575, 25) |
 00184 |  4.659e+000  | (0, 112.15, 25)      |
 00185 |  4.673e+000  | (85.125, 112.15, 25) |
 00186 |  4.671e+000  | (169.25, 112.15, 25) |
 00187 |  5.330e+000  | (0, 0, 49)           |
 00188 |  5.266e+000  | (85.125, 0, 49)      |
 00189 |  4.945e+000  | (169.25, 0, 49)      |
 00190 |  5.152e+000  | (0, 56.575, 49)      |
 00191 |  5.138e+000  | (85.125, 56.575, 49) |
 00192 |  4.892e+000  | (169.25, 56.575, 49) |
 00193 |  5.008e+000  | (0, 112.15, 49)      |
 00194 |  4.961e+000  | (85.125, 112.15, 49) |
 00195 |  5.256e+000  | (169.25, 112.15, 49) |
 00196 |  9.004e+001  | Outside (Positive X) |
 00197 |  9.022e+001  | (0,0,0)              |
 00198 |  9.022e+001  | (85.125, 0, 0)       |
 00199 |  9.073e+001  | (169.25, 0, 0)       |
 00200 |  9.020e+001  | (0, 56.575, 0)       |
 00201 |  9.020e+001  | (85.125, 56.575, 0)  |
 00202 |  9.071e+001  | (169.25, 56.575, 0)  |
 00203 |  9.073e+001  | (0, 112.15, 0)       |
 00204 |  9.072e+001  | (85.125, 112.15, 0)  |
 00205 |  9.122e+001  | (169.25, 112.15,0)   |
 00206 |  5.775e+000  | (0, 0, 25)           |
 00207 |  5.816e+000  | (85.125, 0, 25)      |
 00208 |  4.652e+000  | (169.25, 0, 25)      |
 00209 |  5.727e+000  | (0, 56.575, 25)      |
 00210 |  5.809e+000  | (85.125, 56.575, 25) |
 00211 |  4.666e+000  | (169.25, 56.575, 25) |
 00212 |  4.659e+000  | (0, 112.15, 25)      |
 00213 |  4.673e+000  | (85.125, 112.15, 25) |
 00214 |  4.671e+000  | (169.25, 112.15, 25) |
 00215 |  5.965e+000  | (0, 0, 49)           |
 00216 |  6.068e+000  | (85.125, 0, 49)      |
 00217 |  4.732e+000  | (169.25, 0, 49)      |
 00218 |  5.904e+000  | (0, 56.575, 49)      |
 00219 |  6.054e+000  | (85.125, 56.575, 49) |
 00220 |  4.745e+000  | (169.25, 56.575, 49) |
 00221 |  4.693e+000  | (0, 112.15, 49)      |
 00222 |  4.732e+000  | (85.125, 112.15, 49) |
 00223 |  4.677e+000  | (169.25, 112.15, 49) |
 00224 |  1.342e+002  | Outside (Positive X) |
