# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/03	18:19:14
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Solid Sphere Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |   Name   |
#      |    krad (Si) |          |
 00217 |  9.928e+001  | Detector |
 00218 |  9.826e+001  | Detector |
 00219 |  9.845e+001  | Detector |
 00220 |  9.831e+001  | Detector |
 00221 |  9.829e+001  | Detector |
 00222 |  9.728e+001  | Detector |
 00223 |  9.727e+001  | Detector |
 00224 |  9.684e+001  | Detector |
 00225 |  9.683e+001  | Detector |
 00226 |  9.678e+001  | Detector |
 00227 |  9.637e+001  | Detector |
 00228 |  9.577e+001  | Detector |
 00229 |  9.550e+001  | Detector |
 00230 |  9.502e+001  | Detector |
 00231 |  9.493e+001  | Detector |
 00232 |  1.184e+002  | Detector |
 00233 |  1.363e+002  | Detector |
 00234 |  1.078e+002  | Detector |
 00235 |  1.032e+002  | Detector |
 00236 |  1.010e+002  | Detector |
 00237 |  9.922e+001  | Detector |
 00238 |  9.882e+001  | Detector |
 00239 |  9.809e+001  | Detector |
 00240 |  9.826e+001  | Detector |
 00241 |  9.837e+001  | Detector |
 00242 |  9.746e+001  | Detector |
 00243 |  9.731e+001  | Detector |
 00244 |  9.668e+001  | Detector |
 00245 |  9.687e+001  | Detector |
 00246 |  9.656e+001  | Detector |
 00247 |  9.611e+001  | Detector |
 00248 |  9.615e+001  | Detector |
 00249 |  9.597e+001  | Detector |
 00250 |  9.569e+001  | Detector |
 00251 |  9.539e+001  | Detector |
 00252 |  9.531e+001  | Detector |
 00253 |  1.184e+002  | Detector |
 00254 |  1.361e+002  | Detector |
 00255 |  1.078e+002  | Detector |
 00256 |  1.032e+002  | Detector |
 00257 |  1.008e+002  | Detector |
 00258 |  9.941e+001  | Detector |
 00259 |  9.879e+001  | Detector |
 00260 |  9.786e+001  | Detector |
 00261 |  9.805e+001  | Detector |
 00262 |  9.791e+001  | Detector |
 00263 |  9.774e+001  | Detector |
 00264 |  9.686e+001  | Detector |
 00265 |  9.686e+001  | Detector |
 00266 |  9.643e+001  | Detector |
 00267 |  9.644e+001  | Detector |
 00268 |  9.612e+001  | Detector |
 00269 |  9.577e+001  | Detector |
 00270 |  9.583e+001  | Detector |
 00271 |  9.556e+001  | Detector |
 00272 |  9.537e+001  | Detector |
 00273 |  9.519e+001  | Detector |
 00274 |  1.183e+002  | Detector |
 00275 |  1.364e+002  | Detector |
 00276 |  1.080e+002  | Detector |
 00277 |  1.032e+002  | Detector |
 00278 |  1.010e+002  | Detector |
 00279 |  9.929e+001  | Detector |
 00280 |  9.863e+001  | Detector |
 00281 |  9.782e+001  | Detector |
 00282 |  9.822e+001  | Detector |
 00283 |  9.843e+001  | Detector |
 00284 |  9.774e+001  | Detector |
 00285 |  9.757e+001  | Detector |
 00286 |  9.694e+001  | Detector |
 00287 |  9.669e+001  | Detector |
 00288 |  9.620e+001  | Detector |
 00289 |  9.599e+001  | Detector |
 00290 |  9.608e+001  | Detector |
 00291 |  9.591e+001  | Detector |
 00292 |  9.574e+001  | Detector |
 00293 |  9.573e+001  | Detector |
 00294 |  9.548e+001  | Detector |
 00295 |  1.185e+002  | Detector |
 00296 |  1.363e+002  | Detector |
 00297 |  1.080e+002  | Detector |
 00298 |  1.035e+002  | Detector |
 00299 |  1.017e+002  | Detector |
 00300 |  1.001e+002  | Detector |
 00301 |  9.965e+001  | Detector |
 00302 |  9.865e+001  | Detector |
 00303 |  9.897e+001  | Detector |
 00304 |  9.895e+001  | Detector |
 00305 |  9.883e+001  | Detector |
 00306 |  9.830e+001  | Detector |
 00307 |  9.783e+001  | Detector |
